rank	genome_size
Aenigmatarchaeum subterraneum	428886
CS1-C013 sp011773475	1009083
CS1-C013 sp017608545	556959
JAAOXY01 sp018221065	643878
JAFCDY01 sp017609445	799511
JAFGAZ01 sp016933455	694169
JAHIDZ01 sp018901755	745322
JAHIEG01 sp018901655	664824
JAADFI01 sp013152905	547088
WANL01 sp015521825	493562
JACQIB01 sp016198755	890842
JAHLMR01 sp018920255	552063
JAHLMS01 sp018920245	515419
SZUA-1535 sp015521535	421644
SZUA-1535 sp015661515	664916
CG10238-14 sp002789635	863044.8888888889
CG10238-14 sp014728985	1005542
CG10238-14 sp017610225	2325784
JAFCEW01 sp017608955	468508
JAGVVZ01 sp018304545	960002
JAHLMN01 sp018920345	752019
JAHLMN01 sp018920365	752428
RBG-16-49-10 sp001784635	916337
EX4484-224 sp002254545	485206
JAHLMO01 sp018920305	553587
SpSt-28 sp011047985	791057
SpSt-9 sp011333035	594681
WAMV01 sp015522145	322935
JABABT01 sp014238095	516096
JABABT01 sp016213525	662247
JACOWB01 sp016177025	571189
JACOWB01 sp016187415	735003
JACOWB01 sp018920185	643152
JACPAE01 sp016181005	739890
JACPAE01 sp016187385	875944
JACPJS01 sp016187405	440000
JACQIA01 sp016198705	1083303
JAGVVV01 sp018304615	785293
SCSR01 sp004297575	736572
SpSt-734 sp011363135	434362
SpSt-742 sp011335085	395420
SpSt-971 sp011334385	462456
GCA-2688965 sp002688965	1897616
CAIKBN01 sp903825675	817296
GW2011-AR5 sp000806115	858244
GW2011-AR5 sp018304605	972373
GW2011-AR5 sp10154u	898948
JACPAG01 sp016180945	987615
JACPAH01 sp016180925	843696
JACPAH01 sp016187365	739184
JACPDL01 sp016184005	919184
JACPDL01 sp018304565	811389
JACPJW01 sp016187335	1014551
JACPJW01 sp016198625	508462
JACPRW01 sp016193585	1170395
JACPVU01 sp016191585	756390
JACQID01 sp016198645	655388
JACQID01 sp016198685	934889
JACQID01 sp018304585	825503
JACQNW01 sp016202845	949552
JACQNX01 sp016202875	815445
JACPJV01 sp016187395	981745
JACRAC01 sp016213555	878832
JACRAC01 sp016219465	996718
JACRMX01 sp016219485	650667
JAGVVW01 sp018304635	1077561
JAHLMP01 sp018920315	712991
SpSt-1120 sp011373045	557628
WALA01 sp015522745	533182
WALA01 sp015523085	431682
JACPZZ01 sp016177205	604800
JACPZZ01 sp016180965	731509
JACPZZ01 sp016195275	1068405
JACPZZ01 sp016202795	868326
JACPZZ01 sp016202815	946720
B50-G16 sp003663345	951466
JACQIF01 sp016198635	540470
JACQIF01 sp016432325	874869
JACRMZ01 sp016219455	866430
PWEA01 sp003550625	723616
PWEA01 sp003553905	702328
PWEA01 sp003554235	560609
PWEA01 sp003554845	633124
PWEA01 sp003555465	631996
JACQNV01 sp016202865	751345
JAFGFG01 sp016931255	929379
JAFGSV01 sp016934325	1238070
BS750m-G24 sp016783545	885693
BS750m-G81 sp016782405	625368
JACPNN01 sp016185435	1346455
JACQIG01 sp016198605	820916
JACQIG01 sp016202745	1020400
JACQOC01 sp016202785	840284
JACQOD01 sp016198585	941554
JACQOD01 sp016202725	984961
JAFCEK01 sp017609225	879629
JAFCEM01 sp017609145	815378
JAHIRU01 sp018818465	866937
JAHIVW01 sp018816245	886365
QMZP01 sp003663225	941786
